Name,Record,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc,SApM,Str.Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg
 Fabio Aguiar Record: 17-1-0,"Height:6' 0""",Weight:185 lbs.,Reach:--,STANCE:  ,"DOB:Feb 10, 1988  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Edwin Aguilar Record: 26-19-0 (1 NC),"Height:5' 10""",Weight:185 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Jessica Aguilar Record: 20-8-0,"Height:5' 3""",Weight:115 lbs.,"Reach:63""",STANCE:Orthodox,"DOB:May 08, 1982  ",SLpM:4.93,Str. Acc.:50%,SApM:7.19,Str. Def:53%,,TD Avg.:0.94,TD Acc.:25%,TD Def.:50%,Sub. Avg.:0.2,"
"
 Kevin Aguilar Record: 17-5-0,"Height:5' 7""",Weight:155 lbs.,"Reach:73""",STANCE:Orthodox,"DOB:Sep 07, 1988  ",SLpM:3.96,Str. Acc.:40%,SApM:4.81,Str. Def:52%,,TD Avg.:0.16,TD Acc.:16%,TD Def.:78%,Sub. Avg.:0.0,"
"
 Christian Aguilera Record: 14-8-0,"Height:5' 9""",Weight:170 lbs.,"Reach:72""",STANCE:Switch,"DOB:Nov 25, 1991  ",SLpM:2.54,Str. Acc.:37%,SApM:4.04,Str. Def:48%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:60%,Sub. Avg.:0.0,"
"
 Mike Aina Record: 14-6-1 (1 NC),"Height:5' 9""",Weight:155 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:2.87,Str. Acc.:33%,SApM:6.33,Str. Def:59%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:71%,Sub. Avg.:0.0,"
"
 Hitomi Akano Record: 18-10-0,"Height:5' 4""",Weight:135 lbs.,Reach:--,STANCE:Southpaw,"DOB:Jul 27, 1974  ",SLpM:0.59,Str. Acc.:45%,SApM:2.58,Str. Def:55%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:8%,Sub. Avg.:0.5,"
"
 Omari Akhmedov Record: 21-6-1,"Height:6' 0""",Weight:185 lbs.,"Reach:73""",STANCE:Orthodox,"DOB:Oct 12, 1987  ",SLpM:2.97,Str. Acc.:34%,SApM:2.84,Str. Def:55%,,TD Avg.:2.58,TD Acc.:45%,TD Def.:65%,Sub. Avg.:0.2,"
"
 Yoshihiro Akiyama Record: 14-6-0 (2 NC),"Height:5' 10""",Weight:170 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:Jul 29, 1975  ",SLpM:3.10,Str. Acc.:41%,SApM:3.62,Str. Def:57%,,TD Avg.:2.29,TD Acc.:67%,TD Def.:92%,Sub. Avg.:1.0,"
"
 Rostem Akman Record: 6-2-0,"Height:5' 10""",Weight:170 lbs.,"Reach:72""",STANCE:Switch,"DOB:Dec 19, 1991  ",SLpM:1.80,Str. Acc.:25%,SApM:3.97,Str. Def:57%,,TD Avg.:1.00,TD Acc.:40%,TD Def.:87%,Sub. Avg.:0.0,"
"
 Razak Al-Hassan Record: 13-5-0,"Height:6' 2""",Weight:205 lbs.,Reach:--,STANCE:Orthodox,"DOB:May 14, 1982  ",SLpM:3.27,Str. Acc.:39%,SApM:3.14,Str. Def:60%,,TD Avg.:0.65,TD Acc.:14%,TD Def.:57%,Sub. Avg.:0.0,"
"
 Mostapha Al-Turk Record: 6-6-0,"Height:6' 2""",Weight:245 lbs.,"Reach:77""",STANCE:Orthodox,"DOB:Jul 14, 1973  ",SLpM:1.36,Str. Acc.:19%,SApM:3.61,Str. Def:53%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Herdem Alacabek Record: 5-1-0,"Height:6' 2""",Weight:205 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:Jun 07, 1991  ",SLpM:3.84,Str. Acc.:65%,SApM:6.66,Str. Def:23%,,TD Avg.:2.06,TD Acc.:50%,TD Def.:42%,Sub. Avg.:0.0,"
"
 Javi Alanis Record: 0-4-0,"Height:5' 6""",Weight:135 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Heili Alateng Record: 14-8-1,"Height:5' 5""",Weight:135 lbs.,"Reach:66""",STANCE:Orthodox,"DOB:Dec 14, 1991  ",SLpM:2.87,Str. Acc.:32%,SApM:5.82,Str. Def:57%,,TD Avg.:2.33,TD Acc.:35%,TD Def.:100%,Sub. Avg.:0.0,"
"
 Amir Albazi Record: 14-1-0,"Height:5' 5""",Weight:125 lbs.,"Reach:68""",STANCE:Orthodox,"DOB:Oct 27, 1993  ",SLpM:4.06,Str. Acc.:40%,SApM:3.15,Str. Def:58%,,TD Avg.:2.28,TD Acc.:75%,TD Def.:66%,Sub. Avg.:0.8,"
"
 Brett Albee Record: 3-2-0,Height:--,Weight:225 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 John Albert Record: 6-5-0,"Height:5' 8""",Weight:135 lbs.,"Reach:68""",STANCE:Orthodox,"DOB:Oct 13, 1986  ",SLpM:3.05,Str. Acc.:49%,SApM:2.82,Str. Def:35%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:50%,Sub. Avg.:6.1,"
"
 Junior Albini Record: 14-6-0,"Height:6' 3""",Weight:264 lbs.,"Reach:74""",STANCE:Orthodox,"DOB:Mar 15, 1991  ",SLpM:3.98,Str. Acc.:51%,SApM:6.08,Str. Def:52%,,TD Avg.:1.54,TD Acc.:37%,TD Def.:100%,Sub. Avg.:0.0,"
"
 Wes Albritton Record: 0-1-0,"Height:5' 10""",Weight:188 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Aleksandra Albu Record: 3-2-0,"Height:5' 2""",Weight:115 lbs.,"Reach:63""",STANCE:Orthodox,"DOB:Jul 14, 1990  ",SLpM:4.83,Str. Acc.:47%,SApM:5.56,Str. Def:38%,,TD Avg.:2.27,TD Acc.:50%,TD Def.:77%,Sub. Avg.:0.4,"
"
 Israel Albuquerque Record: 0-3-0,Height:--,Weight:185 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.32,Str. Acc.:13%,SApM:3.34,Str. Def:25%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Juan Alcain Record: 1-2-0,Height:--,Weight:--,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Iuri Alcantara Record: 35-10-0 (1 NC),"Height:5' 9""",Weight:135 lbs.,"Reach:71""",STANCE:Southpaw,"DOB:Aug 04, 1980  ",SLpM:2.72,Str. Acc.:45%,SApM:2.79,Str. Def:49%,,TD Avg.:1.44,TD Acc.:62%,TD Def.:60%,Sub. Avg.:0.8,"
"
 Ildemar Alcantara Record: 21-11-0,"Height:6' 2""",Weight:185 lbs.,"Reach:78""",STANCE:Orthodox,"DOB:Nov 18, 1982  ",SLpM:1.93,Str. Acc.:38%,SApM:2.63,Str. Def:50%,,TD Avg.:2.00,TD Acc.:68%,TD Def.:81%,Sub. Avg.:0.9,"
"
 Alfonso Alcarez Record: 1-3-1,"Height:5' 3""",Weight:145 lbs.,Reach:--,STANCE:  ,"DOB:Jun 10, 1970  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Gilbert Aldana Record: 6-2-0,"Height:6' 1""",Weight:250 lbs.,Reach:--,STANCE:Orthodox,"DOB:Aug 25, 1977  ",SLpM:2.91,Str. Acc.:54%,SApM:6.26,Str. Def:26%,,TD Avg.:2.57,TD Acc.:40%,TD Def.:33%,Sub. Avg.:0.0,"
"
 Irene Aldana Record: 13-6-0,"Height:5' 9""",Weight:135 lbs.,"Reach:68""",STANCE:Orthodox,"DOB:Mar 26, 1988  ",SLpM:5.61,Str. Acc.:39%,SApM:5.94,Str. Def:60%,,TD Avg.:0.22,TD Acc.:50%,TD Def.:84%,Sub. Avg.:0.1,"
"
 Hector Aldana Record: 4-3-0,"Height:5' 11""",Weight:170 lbs.,"Reach:72""",STANCE:Orthodox,"DOB:Aug 17, 1988  ",SLpM:3.59,Str. Acc.:38%,SApM:5.08,Str. Def:59%,,TD Avg.:0.93,TD Acc.:100%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Jose Aldo Record: 30-7-0,"Height:5' 7""",Weight:135 lbs.,"Reach:70""",STANCE:Orthodox,"DOB:Sep 09, 1986  ",SLpM:3.63,Str. Acc.:45%,SApM:3.59,Str. Def:61%,,TD Avg.:0.55,TD Acc.:56%,TD Def.:91%,Sub. Avg.:0.1,"
"
 JJ Aldrich Record: 9-4-0,"Height:5' 5""",Weight:125 lbs.,"Reach:67""",STANCE:Southpaw,"DOB:Sep 29, 1992  ",SLpM:3.76,Str. Acc.:41%,SApM:4.55,Str. Def:61%,,TD Avg.:0.80,TD Acc.:40%,TD Def.:57%,Sub. Avg.:0.0,"
"
 Jim Alers Record: 13-3-0 (1 NC),"Height:5' 9""",Weight:145 lbs.,"Reach:71""",STANCE:Orthodox,"DOB:Oct 14, 1986  ",SLpM:2.90,Str. Acc.:40%,SApM:4.38,Str. Def:56%,,TD Avg.:2.26,TD Acc.:41%,TD Def.:80%,Sub. Avg.:0.3,"
"
 John Alessio Record: 35-17-0 (2 NC),"Height:5' 10""",Weight:155 lbs.,"Reach:72""",STANCE:Orthodox,"DOB:Jul 05, 1979  ",SLpM:2.10,Str. Acc.:39%,SApM:2.91,Str. Def:54%,,TD Avg.:1.85,TD Acc.:38%,TD Def.:70%,Sub. Avg.:1.2,"
"
 Houston Alexander Record: 17-15-1 (2 NC),"Height:6' 0""",Weight:205 lbs.,"Reach:72""",STANCE:Orthodox,"DOB:Mar 22, 1972  ",SLpM:3.06,Str. Acc.:54%,SApM:3.20,Str. Def:52%,,TD Avg.:1.19,TD Acc.:57%,TD Def.:33%,Sub. Avg.:0.0,"
"
 Kenneth Alexander Record: 7-6-0 (1 NC),"Height:5' 9""",Weight:155 lbs.,Reach:--,STANCE:Orthodox,"DOB:Sep 25, 1977  ",SLpM:0.88,Str. Acc.:19%,SApM:2.20,Str. Def:66%,,TD Avg.:4.71,TD Acc.:26%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Marcio Alexandre Junior Record: 17-4-0,"Height:6' 0""",Weight:185 lbs.,"Reach:75""",STANCE:Southpaw,"DOB:May 05, 1989  ",SLpM:1.61,Str. Acc.:45%,SApM:2.89,Str. Def:42%,,TD Avg.:0.35,TD Acc.:20%,TD Def.:66%,Sub. Avg.:0.7,"
"
 Olaf Alfonso Record: 8-12-0,"Height:6' 2""",Weight:170 lbs.,Reach:--,STANCE:Orthodox,"DOB:Aug 06, 1974  ",SLpM:1.65,Str. Acc.:38%,SApM:4.77,Str. Def:53%,,TD Avg.:0.37,TD Acc.:7%,TD Def.:22%,Sub. Avg.:0.7,"
"
 Pablo Alfonso Record: 9-7-0,"Height:5' 8""",Weight:145 lbs.,Reach:--,STANCE:  ,"DOB:May 09, 1983  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Levi Alford Record: 1-7-0,Height:--,Weight:--,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Bill Algeo Record: 14-6-0,"Height:6' 0""",Weight:145 lbs.,"Reach:73""",STANCE:Switch,"DOB:Jun 09, 1989  ",SLpM:6.37,Str. Acc.:53%,SApM:4.87,Str. Def:40%,,TD Avg.:0.50,TD Acc.:28%,TD Def.:55%,Sub. Avg.:0.0,"
"
 Royce Alger Record: 3-2-0,"Height:5' 10""",Weight:199 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Amir Aliakbari Record: 10-1-0,"Height:6' 3""",Weight:250 lbs.,Reach:--,STANCE:  ,"DOB:Jun 10, 1984  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Sultan Aliev Record: 15-3-0,"Height:5' 11""",Weight:170 lbs.,"Reach:74""",STANCE:Orthodox,"DOB:Sep 17, 1984  ",SLpM:1.41,Str. Acc.:45%,SApM:2.20,Str. Def:56%,,TD Avg.:1.76,TD Acc.:38%,TD Def.:100%,Sub. Avg.:0.0,"
"
 John Allan Record: 13-6-0 (1 NC),"Height:6' 1""",Weight:205 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:Feb 22, 1993  ",SLpM:2.95,Str. Acc.:43%,SApM:4.01,Str. Def:52%,,TD Avg.:1.94,TD Acc.:71%,TD Def.:50%,Sub. Avg.:1.2,"
"
 George Allen Record: 13-19-2,"Height:6' 2""",Weight:205 lbs.,Reach:--,STANCE:Open Stance,"DOB:Jan 13, 1967  ",SLpM:0.80,Str. Acc.:38%,SApM:3.10,Str. Def:43%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:50%,Sub. Avg.:0.0,"
"
 Arnold Allen Record: 17-1-0,"Height:5' 8""",Weight:145 lbs.,"Reach:70""",STANCE:Southpaw,"DOB:Jan 22, 1994  ",SLpM:2.96,Str. Acc.:40%,SApM:2.15,Str. Def:66%,,TD Avg.:1.44,TD Acc.:50%,TD Def.:76%,Sub. Avg.:0.4,"
"
 Brendan Allen Record: 17-4-0,"Height:6' 2""",Weight:185 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:Dec 28, 1995  ",SLpM:4.10,Str. Acc.:52%,SApM:4.24,Str. Def:45%,,TD Avg.:1.29,TD Acc.:45%,TD Def.:50%,Sub. Avg.:1.6,"
"
 Ben Alloway Record: 18-8-0,"Height:5' 11""",Weight:170 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Feb 19, 1981  ",SLpM:1.28,Str. Acc.:49%,SApM:1.90,Str. Def:59%,,TD Avg.:0.62,TD Acc.:50%,TD Def.:26%,Sub. Avg.:0.0,"
"
 Ricardo Almeida Record: 13-5-0,"Height:6' 0""",Weight:170 lbs.,"Reach:74""",STANCE:Orthodox,"DOB:Nov 29, 1976  ",SLpM:2.02,Str. Acc.:49%,SApM:1.20,Str. Def:61%,,TD Avg.:3.74,TD Acc.:38%,TD Def.:31%,Sub. Avg.:1.2,"
"
 Magno Almeida Record: 10-3-0 (1 NC),"Height:6' 0""",Weight:155 lbs.,Reach:--,STANCE:  ,"DOB:Jun 06, 1985  ",SLpM:1.67,Str. Acc.:36%,SApM:2.60,Str. Def:41%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:40%,Sub. Avg.:5.0,"
"
 Thomas Almeida Record: 22-5-0,"Height:5' 7""",Weight:145 lbs.,"Reach:70""",STANCE:Southpaw,"DOB:Jul 31, 1991  ",SLpM:4.84,Str. Acc.:43%,SApM:4.93,Str. Def:61%,,TD Avg.:0.17,TD Acc.:14%,TD Def.:75%,Sub. Avg.:0.0,"
"
 Ericka Almeida Record: 7-3-0,"Height:5' 6""",Weight:115 lbs.,Reach:--,STANCE:Orthodox,"DOB:Mar 05, 1989  ",SLpM:1.07,Str. Acc.:39%,SApM:3.33,Str. Def:43%,,TD Avg.:0.50,TD Acc.:33%,TD Def.:37%,Sub. Avg.:0.0,"
"
 Estefani Almeida Record: 7-3-0,"Height:5' 4""",Weight:125 lbs.,Reach:--,STANCE:Orthodox,"DOB:Oct 17, 1988  ",SLpM:3.13,Str. Acc.:37%,SApM:6.07,Str. Def:42%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Jailton Almeida Record: 0-0-0,"Height:5' 2""",Weight:205 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Lucas Almeida Record: 12-0-0,"Height:5' 11""",Weight:155 lbs.,Reach:--,STANCE:  ,"DOB:Jan 13, 1991  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Mauricio Alonso Record: 13-7-0 (1 NC),"Height:6' 2""",Weight:170 lbs.,Reach:--,STANCE:  ,"DOB:Feb 27, 1980  ",SLpM:5.74,Str. Acc.:34%,SApM:1.91,Str. Def:67%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Sarah Alpar Record: 9-5-0,"Height:5' 4""",Weight:135 lbs.,"Reach:63""",STANCE:Southpaw,"DOB:Jun 01, 1991  ",SLpM:2.11,Str. Acc.:54%,SApM:4.76,Str. Def:32%,,TD Avg.:2.69,TD Acc.:28%,TD Def.:50%,Sub. Avg.:0.7,"
"
 Ali AlQaisi Record: 8-5-0,"Height:5' 6""",Weight:135 lbs.,"Reach:68""",STANCE:Orthodox,"DOB:Sep 23, 1990  ",SLpM:2.43,Str. Acc.:42%,SApM:1.97,Str. Def:56%,,TD Avg.:3.50,TD Acc.:29%,TD Def.:60%,Sub. Avg.:1.0,"
"
 Rico Altamirano Record: 4-3-0,"Height:5' 10""",Weight:170 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Victor Altamirano Record: 9-1-0,"Height:5' 8""",Weight:125 lbs.,Reach:--,STANCE:Switch,"DOB:Jan 23, 1991  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Mike Altman Record: 1-4-0,"Height:5' 10""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:1.56,Str. Acc.:20%,SApM:2.08,Str. Def:75%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Sean Alvarez Record: 4-3-0,"Height:6' 0""",Weight:235 lbs.,Reach:--,STANCE:Orthodox,"DOB:Jul 14, 1971  ",SLpM:0.89,Str. Acc.:37%,SApM:3.25,Str. Def:47%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Eddie Alvarez Record: 29-6-0 (1 NC),"Height:5' 9""",Weight:155 lbs.,"Reach:69""",STANCE:Orthodox,"DOB:Jan 11, 1984  ",SLpM:4.32,Str. Acc.:41%,SApM:4.39,Str. Def:55%,,TD Avg.:2.92,TD Acc.:36%,TD Def.:92%,Sub. Avg.:0.5,"
"
 Jaime Alvarez Record: 6-1-0,"Height:5' 8""",Weight:125 lbs.,"Reach:69""",STANCE:Orthodox,"DOB:Mar 08, 1988  ",SLpM:2.73,Str. Acc.:40%,SApM:4.53,Str. Def:56%,,TD Avg.:1.00,TD Acc.:33%,TD Def.:50%,Sub. Avg.:0.0,"
"
 Joel Alvarez Record: 18-2-0,"Height:6' 3""",Weight:155 lbs.,"Reach:77""",STANCE:Orthodox,"DOB:Mar 02, 1994  ",SLpM:2.84,Str. Acc.:37%,SApM:3.31,Str. Def:53%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:1.6,"
"
 Thiago Alves Record: 23-15-0,"Height:5' 9""",Weight:170 lbs.,"Reach:70""",STANCE:Orthodox,"DOB:Oct 03, 1983  ",SLpM:3.73,Str. Acc.:41%,SApM:3.42,Str. Def:62%,,TD Avg.:0.71,TD Acc.:60%,TD Def.:63%,Sub. Avg.:0.3,"
"
 Anthony Alves Record: 1-4-0,Height:--,Weight:--,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Amilcar Alves Record: 15-12-0,"Height:6' 0""",Weight:170 lbs.,Reach:--,STANCE:Southpaw,"DOB:Aug 08, 1988  ",SLpM:0.50,Str. Acc.:46%,SApM:2.02,Str. Def:30%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:53%,Sub. Avg.:0.0,"
"
